p,qE,qL,q_cutoff,eMaxScore,n,score_method
0.75,1,0.75,1.5,163.56165447943144,100,ESPN
0.75,1,0.75,1.5,170.4377965614838,1000,ESPN
0.75,1,0.75,1.5,174.95736484182953,10000,ESPN
0.75,0.5,0.8,1.5,120.00000000000014,1,ESPN
0.75,0.5,0.8,1.5,139.66663750982775,5,ESPN
0.75,0.5,0.8,1.5,145.2295285430896,10,ESPN
0.75,0.5,0.8,1.5,157.3671017017484,100,ESPN
0.75,0.5,0.8,1.5,164.45464582229374,1000,ESPN
0.75,0.5,0.8,1.5,169.3794968008389,10000,ESPN
0.75,0.55,0.8,1.5,120.80000000000014,1,ESPN
0.75,0.55,0.8,1.5,140.463243574155,5,ESPN
0.75,0.55,0.8,1.5,146.02444850784755,10,ESPN
0.75,0.55,0.8,1.5,158.15467256782654,100,ESPN
0.75,0.55,0.8,1.5,165.2320166798911,1000,ESPN
0.75,0.55,0.8,1.5,170.14404380233591,10000,ESPN
0.75,0.6,0.8,1.5,121.60000000000012,1,ESPN
0.75,0.6,0.8,1.5,141.2535297046423,5,ESPN
0.75,0.6,0.8,1.5,146.81040939669245,10,ESPN
0.75,0.6,0.8,1.5,158.92367327397727,100,ESPN
0.75,0.6,0.8,1.5,165.98052758501078,1000,ESPN
0.75,0.6,0.8,1.5,170.86948949283797,10000,ESPN
0.75,0.65,0.8,1.5,122.40000000000012,1,ESPN
0.75,0.65,0.8,1.5,142.0374921905534,5,ESPN
0.75,0.65,0.8,1.5,147.587415027675,10,ESPN
0.75,0.65,0.8,1.5,159.67415065619554,100,ESPN
0.75,0.65,0.8,1.5,166.7002795612752,1000,ESPN
0.75,0.65,0.8,1.5,171.55596756360936,10000,ESPN
0.75,0.7,0.8,1.5,123.20000000000012,1,ESPN
0.75,0.7,0.8,1.5,142.8151159617326,5,ESPN
0.75,0.7,0.8,1.5,148.35544964054546,10,ESPN
0.75,0.7,0.8,1.5,160.40607529824348,100,ESPN
0.75,0.7,0.8,1.5,167.39118236096414,1000,ESPN
0.75,0.7,0.8,1.5,172.20323859782235,10000,ESPN
0.75,0.75,0.8,1.5,124.00000000000011,1,ESPN
0.75,0.75,0.8,1.5,143.58637430213935,5,ESPN
0.75,0.75,0.8,1.5,149.11447746652277,10,ESPN
0.75,0.75,0.8,1.5,161.11933965815155,100,ESPN
0.75,0.75,0.8,1.5,168.0529455690364,1000,ESPN
0.75,0.75,0.8,1.5,172.81065959990386,10000,ESPN
0.75,0.8,0.8,1.5,124.80000000000013,1,ESPN
0.75,0.8,0.8,1.5,144.35122836927178,5,ESPN
0.75,0.8,0.8,1.5,149.86444190497625,10,ESPN
0.75,0.8,0.8,1.5,161.81375363158006,100,ESPN
0.75,0.8,0.8,1.5,168.68505880934396,1000,ESPN
0.75,0.8,0.8,1.5,173.37712007613172,10000,ESPN
