wp,n,k,p,q,r
1.3327523165935056e-7,100,10000,0.75,0.2,0.5
1.3238721189212868e-6,1000,10000,0.75,0.2,0.5
1.2757068410777367e-5,10000,10000,0.75,0.2,0.5
1.1205072609202823e-4,100000,10000,0.75,0.2,0.5
8.246982636219614e-4,1000000,10000,0.75,0.2,0.5
0.004761162904894062,10000000,10000,0.75,0.2,0.5
0.020885016855466617,100000000,10000,0.75,0.2,0.5
4.166833666247809e-11,1,100000,0.75,0.2,0.5
4.166780883169216e-10,10,100000,0.75,0.2,0.5
4.166261415014412e-9,100,100000,0.75,0.2,0.5
4.16155831621129e-8,1000,100000,0.75,0.2,0.5
4.128421246539406e-7,10000,100000,0.75,0.2,0.5
3.9736206709014906e-6,100000,100000,0.75,0.2,0.5
3.520961543035692e-5,1000000,100000,0.75,0.2,0.5
2.681541595309507e-4,10000000,100000,0.75,0.2,0.5
0.0016580216239699898,100000000,100000,0.75,0.2,0.5
1.5187163286180467e-12,1,1000000,0.75,0.2,0.5
1.5187132500572875e-11,10,1000000,0.75,0.2,0.5
1.5186826521012734e-10,100,1000000,0.75,0.2,0.5
1.5183900629879288e-9,1000,1000000,0.75,0.2,0.5
1.515978766161624e-8,10000,1000000,0.75,0.2,0.5
1.5013269370763465e-7,100000,1000000,0.75,0.2,0.5
1.441709391627283e-6,1000000,1000000,0.75,0.2,0.5
1.28234251393552e-5,10000000,1000000,0.75,0.2,0.5
9.970993580088085e-5,100000000,1000000,0.75,0.2,0.5
6.176488315483138e-14,1,10000000,0.75,0.2,0.5
6.176486052692028e-13,10,10000000,0.75,0.2,0.5
6.176463470642774e-12,100,10000000,0.75,0.2,0.5
6.176242292044961e-11,1000,10000000,0.75,0.2,0.5
6.174254398824104e-10,10000,10000000,0.75,0.2,0.5
6.159875112766586e-9,100000,10000000,0.75,0.2,0.5
6.085254426450763e-8,1000000,10000000,0.75,0.2,0.5
5.820052814610553e-7,10000000,10000000,0.75,0.2,0.5
5.17334848520326e-6,100000000,10000000,0.75,0.2,0.5
2.9836824262779026e-15,1,100000000,0.75,0.2,0.5
2.983682237695954e-14,10,100000000,0.75,0.2,0.5
2.9836803508607624e-13,100,100000000,0.75,0.2,0.5
2.9836616221125883e-12,1000,100000000,0.75,0.2,0.5
2.983483783607208e-11,10000,100000000,0.75,0.2,0.5
2.982014394103552e-10,100000,100000000,0.75,0.2,0.5
2.9726388817467992e-9,1000000,100000000,0.75,0.2,0.5
2.9297545853885718e-8,10000000,100000000,0.75,0.2,0.5
2.7919935067114966e-7,100000000,100000000,0.75,0.2,0.5
0.09126654476689787,1,1,0.75,0.25,0.5
0.3337653581038369,10,1,0.75,0.25,0.5
0.6197205494798721,100,1,0.75,0.25,0.5
0.8171383212742613,1000,1,0.75,0.25,0.5
0.9221155676553134,10000,1,0.75,0.25,0.5
0.9697996710704472,100000,1,0.75,0.25,0.5
0.9891537814042988,1000000,1,0.75,0.25,0.5
0.9963492882386912,10000000,1,0.75,0.25,0.5
0.9988384861697113,100000000,1,0.75,0.25,0.5
0.0012675888568307596,1,10,0.75,0.25,0.5
0.011495728494873628,10,10,0.75,0.25,0.5
0.07328406672009145,100,10,0.75,0.25,0.5
0.25791894450803843,1000,10,0.75,0.25,0.5
0.5316222902352565,10000,10,0.75,0.25,0.5
0.766690448730426,100000,10,0.75,0.25,0.5
0.903756549221529,1000000,10,0.75,0.25,0.5
0.9653123710630493,10000000,10,0.75,0.25,0.5
0.9886197173301936,100000000,10,0.75,0.25,0.5
1.9374449628713173e-5,1,100,0.75,0.25,0.5
1.926556254747183e-4,10,100,0.75,0.25,0.5
0.0018401671411296654,100,100,0.75,0.25,0.5
0.01463843061148419,1000,100,0.75,0.25,0.5
0.07802821564290592,10000,100,0.75,0.25,0.5
0.2521451242240052,100000,100,0.75,0.25,0.5
0.5177526091072189,1000000,100,0.75,0.25,0.5
0.7593338979645395,10000000,100,0.75,0.25,0.5
0.9039652282341855,100000000,100,0.75,0.25,0.5
4.7356136517256283e-7,1,1000,0.75,0.25,0.5
4.733555931371298e-6,10,1000,0.75,0.25,0.5
4.714001726157354e-5,100,1000,0.75,0.25,0.5
4.5658796680077984e-4,1000,1000,0.75,0.25,0.5
0.003912948007969205,10000,1000,0.75,0.25,0.5
0.025178448025511686,100000,1000,0.75,0.25,0.5
0.10754946562038659,1000000,1000,0.75,0.25,0.5
0.2975443246375927,10000000,1000,0.75,0.25,0.5
0.5604054634891364,100000000,1000,0.75,0.25,0.5
1.5429188232573068e-8,1,10000,0.75,0.25,0.5
1.5428539891452368e-7,10,10000,0.75,0.25,0.5
1.5422133172344898e-6,100,10000,0.75,0.25,0.5
1.536331250539395e-5,1000,10000,0.75,0.25,0.5
